Sample,source_plate,source_well,destination_plate,destination_well,initial_sample_volume,Initial.concentration,dilution_concentration,sample_vol,final_vol,water_volume,,
A46,2,F3,1,D6,48,11.033,1,1.006072691,11.1,10.09392731,,
A47,2,G3,1,E6,48,1.702,1,5.875440658,10,4.124559342,,
A48,2,H3,1,F6,48,8.568,1,1.16713352,10,8.83286648,,
A49,3,A1,1,G6,48,3.444,1,2.903600465,10,7.096399535,,
A50,3,B1,1,H6,48,9.841,1,1.016156895,10,8.983843105,,
A51,3,C1,1,A7,48,2.14,1,4.672897196,10,5.327102804,,
A52,3,D1,1,B7,48,9.504,1,1.052188552,10,8.947811448,,
A53,3,E1,1,C7,48,2.703,1,3.699593045,10,6.300406955,,
A54,3,F1,1,D7,48,2.767,1,3.614022407,10,6.385977593,,
A55,3,G1,1,E7,48,2.203,1,4.539264639,10,5.460735361,,
A56,3,H1,1,F7,48,1.944,1,5.144032922,10,4.855967078,,
A57,3,A2,1,G7,48,6.436,1,1.553760099,10,8.446239901,,
A58,3,B2,1,H7,48,13.549,1,1.003764115,13.6,12.59623588,,
A59,3,C2,1,A8,48,11.472,1,1.002440725,11.5,10.49755927,,
A60,3,D2,1,B8,48,31.328,1,1.002298264,31.4,30.39770174,,
A61,3,E2,1,C8,48,5.059,1,1.976675232,10,8.023324768,,
A62,3,F2,1,D8,48,2.111,1,4.737091426,10,5.262908574,,
A63,3,G2,1,E8,48,1.899,1,5.265929437,10,4.734070563,,
A64,3,H2,1,F8,48,1.345,1,7.434944238,10,2.565055762,,
A65,3,A3,1,G8,48,13.076,1,1.001835424,13.1,12.09816458,,
A66,3,B3,1,H8,48,10.327,1,1.007068849,10.4,9.392931151,,
A67,3,C3,1,A9,48,2.559,1,3.907776475,10,6.092223525,,
A68,3,D3,1,B9,48,3.03,1,3.300330033,10,6.699669967,,
A69,3,E3,1,C9,48,10.494,1,1.000571755,10.5,9.499428245,,
A70,3,F3,1,D9,48,1.868,1,5.353319058,10,4.646680942,,
A71,3,G3,1,E9,48,6.87,1,1.455604076,10,8.544395924,,
A72,3,H3,1,F9,48,1.827,1,5.473453749,10,4.526546251,,
B2,4,B1,1,G9,48,34.6,1,1,34.6,33.6,,
B3,4,C1,1,H9,48,7.34,1,1.36239782,10,8.63760218,,
B4,4,D1,1,A10,48,5.12,1,1.953125,10,8.046875,,
B5,4,E1,1,B10,48,130,1,1,130,129,,
B6,4,F1,1,C10,48,23,1,1,23,22,,
B8,4,H1,1,D10,48,23.6,1,1,23.6,22.6,,
B9,4,A2,1,E10,48,61.2,1,1,61.2,60.2,,
B10,4,B2,1,F10,48,10.9,1,1,10.9,9.9,,
B11,4,C2,1,G10,48,31.6,1,1,31.6,30.6,,
B12,4,D2,1,H10,48,15.6,1,1,15.6,14.6,,
B13,4,E2,1,A11,48,51.8,1,1,51.8,50.8,,
B14,4,F2,1,B11,48,40.8,1,1,40.8,39.8,,
B15,4,G2,1,C11,48,13.1,1,1,13.1,12.1,,
B16,4,H2,1,D11,48,35.6,1,1,35.6,34.6,,
B18,4,B3,1,E11,48,173,1,1,173,172,,
B19,4,C3,1,F11,48,62.4,1,1,62.4,61.4,,
B20,4,D3,1,G11,48,370,1,1,370,369,,
B21,4,E3,1,H11,48,11.3,1,1,11.3,10.3,,
B22,4,F3,1,A12,48,1.11,1,9.099099099,10.1,1.000900901,,
B23,4,G3,1,B12,48,6.16,1,1.623376623,10,8.376623377,,
B26,4,B1,1,C12,48,36.4,1,1,36.4,35.4,,
B27,5,C1,1,D12,48,19.6,1,1,19.6,18.6,,
B29,5,E1,1,E12,48,37,1,1,37,36,,
B32,5,H1,1,F12,48,35.6,1,1,35.6,34.6,,
